Jahrgang;Alter;Groesse;Geschlecht;AlterV;AlterM;GroesseV;GroesseM;Geschwister;Farbe;AusgKomm;AnzSchuhe;AusgSchuhe;Essgewohnheiten;Raucher;NoteMathe;MatheZufr;Studiengang;Fragebogen
2014;19;178;Frau;50;45;190;168;1;schwarz;280;40;280;;;5,0;unzufrieden;;
2014;25;185;Mann;55;53;170;168;0;schwarz;1200;12;280;;;5,0;unzufrieden;;
2014;27;160;Frau;50;49;175;165;1;schwarz;250;20;250;;;5,0;unzufrieden;;
2014;22;180;Mann;52;53;180;158;1;weiss;120;5;240;;;5,0;unzufrieden;;
2014;24;169;Frau;50;49;173;192;0;rot;240;18;220;;;5,0;unzufrieden;;
2014;18;162;Frau;48;46;180;160;2;weiss;300;30;200;;;5,0;unzufrieden;;
2014;36;176;Frau;59;59;178;170;2;weiss;700;20;200;;;5,0;unzufrieden;;
2014;22;164;Frau;43;45;180;160;1;schwarz;400;15;200;;;5,0;unzufrieden;;
2014;28;190;Mann;55;48;180;180;0;blau;350;10;200;;;5,0;unzufrieden;;
2014;20;189;Mann;49;45;171;170;1;schwarz;1250;5;200;;;5,0;unzufrieden;;
2014;23;182;Mann;56;52;170;165;2;schwarz;700;4;200;;;5,0;unzufrieden;;
2014;27;156;Frau;63;59;163;156;2;weiss;360;29;130;;;5,0;unzufrieden;;
2014;20;194;Mann;46;47;186;167;2;schwarz;300;10;130;;;5,0;unzufrieden;;
2014;23;182;Frau;66;59;183;179;2;weiss;200;30;120;;;5,0;unzufrieden;;
2014;27;186;Mann;51;47;180;174;1;weiss;605;10;110;;;5,0;unzufrieden;;
2014;20;186;Mann;50;48;183;165;1;schwarz;200;6;100;;;5,0;unzufrieden;;
2014;21;173;Frau;54;51;187;170;1;weiss;156;17;50;;;5,0;unzufrieden;;
2014;26;159;Frau;66;62;170;168;0;silber;1000;60;2000;;;;geht so;;
2014;23;181;Frau;51;63;196;175;3;weiss;800;35;1300;;;;;;
2014;25;170;Frau;53;48;183;175;2;schwarz;800;30;800;;;;;;
2014;19;161;Frau;59;57;174;165;2;weiss;80;15;550;;;;unzufrieden;;
2014;20;175;Mann;45;41;170;165;1;weiss;400;7;550;;;;unzufrieden;;
2014;24;172;Frau;54;48;182;171;2;schwarz;299;45;500;;;;;;
2014;32;184;Mann;59;56;182;175;2;schwarz;310;12;450;;;;unzufrieden;;
2014;29;168;Frau;54;54;176;160;1;schwarz;300;18;400;;;;unzufrieden;;
2014;24;176;Mann;49;49;176;171;2;schwarz;500;11;400;;;;;;
2014;22;162;Frau;65;58;175;159;2;weiss;200;30;300;;;;unzufrieden;;
2014;32;164;Frau;57;58;183;165;2;blau;303;25;300;;;;;;
2014;18;175;Frau;54;51;188;168;1;schwarz;200;25;300;;;;;;
2014;21;168;Frau;46;47;180;170;2;silber;500;10;300;;;;;;
2014;21;160;Frau;57;49;177;160;2;weiss;600;20;250;;;;;;
2014;20;170;Frau;49;53;182;172;2;rot;100;20;250;;;;unzufrieden;;
2014;26;187;Mann;64;62;188;160;1;schwarz;400;10;250;;;;;;
2014;20;166;Frau;60;60;175;165;1;blau;96;30;200;;;;unzufrieden;;
2014;26;194;Mann;54;68;185;175;0;schwarz;500;20;200;;;;;;
2014;21;170;Frau;54;56;175;170;3;schwarz;140;20;200;;;;;;
2014;20;174;Frau;65;55;183;172;0;silber;300;18;200;;;;;;
2014;20;187;Mann;52;53;176;168;1;schwarz;100;11;200;;;;;;
2014;24;188;Mann;71;59;180;168;1;weiss;800;8;200;;;;;;
2014;23;183;Mann;61;50;180;177;0;schwarz;360;2;160;;;;;;
2014;23;169;Frau;52;53;178;164;1;silber;420;30;150;;;;;;
2014;33;158;Frau;53;55;170;158;0;rot;550;15;150;;;;;;
2014;24;165;Frau;60;58;170;170;1;weiss;200;20;120;;;;unzufrieden;;
2014;32;165;Frau;76;64;185;170;4;blau;50;7;120;;;;;;
2014;25;182;Mann;55;47;172;170;1;weiss;450;12;80;;;;;;
2014;18;165;Frau;52;50;189;163;1;schwarz;800;6;80;;;;unzufrieden;;
2014;20;171;Mann;48;45;180;178;2;schwarz;220;5;80;;;;unzufrieden;;
2014;22;182;Mann;55;52;180;162;3;schwarz;130;2;80;;;;sehr zufrieden;;
2014;22;185;Mann;60;55;186;168;2;schwarz;500;4;70;;;;;;
2014;26;181;Mann;65;64;180;165;1;schwarz;400;7;60;;;;;;
2014;22;188;Mann;58;53;180;167;1;weiss;655;25;0;;;;unzufrieden;;
2015;20;169;Frau;52;50;183;165;1;weiss;300;25;500;carnivor;nein;1,3;sehr zufrieden;;
